0,1,2
1120.2800,"Director, Storage and Warehousing",1216.20
1120.2900,"Working Proprietor, Lodging and Catering",1217.10
,Services,
1120.3000,"Director, Lodging and Catering Services/Director",1217.20
,Food and Beverage Service,
1120.3100,Executive Chef,1217.30
,,NCO 2015
,1120.3200,"Working Proprietor, Recreation and"
,,Entertainment
,1120.3300,"Director, Recreation and Entertainment"
,1120.3400,"Station Director, Radio/TV"
,1120.3401,Account Director ( Advertising Agency)
,1120.3402,Sales Director (Media Org)
,1120.3500,"Working Proprietor, Other Services"
,1120.3600,"Director, Other Services"
,1120.3700,"Director, Museum/Zoo"
,1120.3800,Chief Librarian
,1120.3900,"Principal, College"
,1120.9900,"Managing Directors and Chief Executives, Others"
Sub-,12,Administrative and Commercial Managers
Division,,
Group,121,Business Services and Administration Managers
Family,1211,Finance Managers
,1211.0100,"General Manager, Bank"
,1211.0200,"General Manager, Insurance"
,1211.0300,"Purser, Ship"
,1211.9900,"Finance Managers, Others"
Family,1212,Human Resource Managers
,1212.0100,Personnel Manager
,1212.9900,"Personnel and Industrial Relations Managers,"
National Classification of Occupations – 2015,Concordance Table,
NCO 2015,NCO 2004,
Other,,
"Family  
1213 
 
Policy and Planning Managers",,
"1213.0100 
Manager, Automotive Service",1239.10,
"1213.0101 
Quality Assurance Standards In-Charge",,
"1213.0102 
Manager – Customer Quality",,
"1213.0200 
Manager, Automotive Service Station",1239.20,
"1213.0201 
Area Service Manager",,
"1213.0202 
Territory Service Manager",,
"1213.9900 
Managers, Other Services",1239.90,
"Family  
1219 
 
Business Services and Administration Managers",,
"Not 
Elsewhere Classified",,
"1219.0100 
Manager, Import and Export",1227.30,
"1219.0101 
Export Manager",,
"1219.0200 
Manager, Health Club/Manager, Fitness",1228.10,
Club/Centre/Gym,,
"Group 
122 
 
Sales, Marketing and Development Managers",,
"Family 
1221 
 
Sales and Marketing Managers",,
"1221.0100 
Sales Manager (Wholesale Trade)",1233.10,
"1221.0200 
Sales Manager (Retail Trade)",1233.20,
"1221.0301 
Home Delivery Manager",,
"1221.0401 
Territory Sales Manager (Broadband)",,
"1221.0501 
Territory Sales Manager (Prepaid)",,
"1221.0601 
Sales Co-Ordinator (Media Org)",,
,,NCO 2015
,1221.0602,Sales Manager (Media Org)
,1221.9900,"Sales and Marketing Managers, Other"
Family,1222,Advertising and Public Relation Managers
,1222.0100,"Manager, Advertising and Promotion"
,1222.0102,Advertising Operations Co-Ordinator (Digital)
,1222.0200,"Manager, Fashion/Fashion Manager"
,1222.9900,Advertising and Public Relations Department
,,"Managers, Others"
Family,1223,Research and Development Managers
,1223.0101,Manager Testing Facility
,1223.0102,Manager Material Testing
,1223.0201,Research Associate
Sub-,13,Production and Specialized Services Managers
Division,,
Group,131,"Production Managers in Agriculture, Forestry"
,,and Fisheries
Family,1311,Agricultural and Forestry Production Managers
,1311.0100,"General Manager, Plantation"
,1311.0200,"General Manager, Horticulture"
,1311.0300,"General Manager, Agricultural Farm"
,1311.0400,"General Manager, Livestock Farm"
,1311.0500,"General Manager, Dairy Farm"
,1311.0600,"General Manager, Poultry"
,,NCO 2015
,1311.0700,"Manager, Agricultural Farm"
,1311.0800,"Manager, Plantation"
,1311.0900,"Manager, Nursery"
,1311.0901,Rubber Nursery Manager
,1311.1000,"Manager, Aerial Planting and Cultivation"
,1311.1100,"Manager, Orchard"
,1311.1200,"Manager, Horticulture Farm"
,1311.1300,"Manager, Livestock Farm"
,1311.1400,"Manager, Dairy Farm"
,1311.1500,"Manager, Poultry Farm"
,1311.9900,"Agricultural and Forestry Production Managers,"
,,Others
Family,1312,Aquaculture and Fisheries Production Managers
Group,132,"Manufacturing, Mining, Construction and"
,,Distribution Managers
Family,1321,Manufacturing Managers
,1321.0100,"Manager, Electricity"
,1321.0200,Terminal Manager
,1321.0300,"Manager, Gas"
,1321.0400,"Manager, Water Supply"
,1321.0500,"Manager, Food Processing Plant"
,1321.0600,"Manager, Manufacturing"
,1321.0700,"General Manager, Electricity"
,,NCO 2015
,1321.0800,"General Manager, Gas"
,1321.0900,"General Manager, Water Supply"
,1321.1000,"General Manager, Manufacturing"
,1321.9900,"Manufacturing Managers, Other"
Family,1322,Mining Managers
,1322.0100,"Manager, Mine"
,1322.0200,"Manager, Quarry"
,1322.0300,"Manager, Well Drilling"
,1322.0400,"General Manager, Mine"
,1322.0500,"General Manager, Quarry"
,1322.0600,"General Manager, Well Drilling"
,1322.9900,"Mining Managers, Other"
Family,1323,Construction Managers
,1323.0100,"Manager, Construction/Manager Construction"
,,Projects
,1323.0200,"Manager, Land Survey"
,1323.0300,"General Manager, Construction/General"
,,Manager Construction Projects
,1323.9900,"Construction Managers, Other"
Family,1324,"Supply, Distribution and Related Managers"
,1324.0100,"Manager, Material Control/Manager Materials"
,1324.0101,Manager Supplier Quality
,1324.0102,Material Co-Ordination Manager
,NCO 2015,NCO 2004
1324.0103,Manager Vendor Development,
1324.0200,"Manager, Transport",1226.10
1324.0300,"Station Master, Roadways",1226.15
1324.0400,"Traffic Inspector, Motor Transport",1226.17
1324.0500,"Manager, Traffic",1226.20
1324.0600,"Traffic Inspector, Railway",1226.25
1324.0700,"Traffic Inspector, Tram",1226.29
1324.0800,"Manager, Flight Operation",1226.30
1324.0900,Aerodrome Officer,1226.35
1324.1000,"Flight Operation Officer, Air Service",1226.37
1324.1100,"Traffic Officer, Air Service/Traffic Controller",1226.39
1324.1200,"Manager, Storage and Warehousing",1226.50
1324.1201,Warehouse Supervisor,
1324.1300,"Goods Supervisor, Railway",1226.52
1324.1400,"Goods Supervisor, Road Transport",1226.54
1324.1500,"Station Master, Railway",1226.60
1324.1600,"Platform Inspector, Railway",1226.62
1324.1700,"Rates Inspector, Railway",1226.64
1324.1800,"Depot Starter, Tram",1226.65
1324.1900,"Section Controller, Railway",1226.67
1324.2000,"Accident Officer, Tram",1226.69
1324.2100,"General Manager, Transport",1306.10
,,NCO 2015
,1324.2200,"General Manager, Storage and Warehousing"
,1324.9900,"Supply, Distribution and Related Managers and"
,,"General Managers, Other"
Group,133,Information and Communications Technology
,,Services Manager
Family,1330,Information and Communication Technology
,,Services
,1330.0100,"Manager, Communication"
,1330.0101,Communication Analyst
,1330.0200,"Contract Officer, Telephone/Liaising Officer/"
,,PRO/Business Executive
,1330.0300,Post Master
,1330.0600,"General Manager, Communication"
,1330.0701,Cluster Manager
,1330.9900,Information and Communication Technology
,,"Services Manager, Other"
Group,134,Professional Services Managers
Family,1341,Child Care Service Managers
Family,1342,Health Services Managers
Family,1343,Aged Care Services Managers
Family,1344,Social Welfare Managers
Family,1345,Education Managers
,1345.0100,Headmaster
Family,1346,Financial and Insurance Service Branch
National Classification of Occupations – 2015,,
,,NCO 2015
,,Managers
,1346.0100,"Manager, Bank"
,1346.0200,"Manager, Insurance"
,1346.9900,Financial and Insurance Service Branch
,,"Managers, Other"
Family,1349,Professional Services Managers Not Elsewhere
,,Classified
Sub-,14,"Hospitality, Retail and Other Services Managers"
Division,,
Group,141,Hotel and Restaurant Managers
Family,1411,Hotel Managers
,1411.0100,"Manager, Lodging and Catering"
,,Services/Resident Manager
,1411.0200,"General Manager, Lodging and Catering Services"
,1411.9900,"Hotel Managers, Others"
Family,1412,Restaurant Managers
,1412.0100,"Manager, Fast Food Service"
,1412.9900,"Restaurant Managers, Other"
Group,142,Retail and Wholesale Trade Managers
Family,1420,Retail and Wholesale Trade Managers
,1420.0100,"Manager, Wholesale Trade"
,1420.0200,"Manager, Retail Trade"
,1420.0300,"Manager, Export"
,1420.0400,"General Manager, Wholesale Trade/Senior"
National Classification of Occupations – 2015,,
,,NCO 2015
,,"Manager, Wholesale Trade"
,1420.0500,"General Manager, Retail Trade, Senior Manager,"
,,Retail Trade
,1420.9900,"Retail and Wholesale Trade Managers, Other"
Group,143,Other Services Managers
Family,1431,"Sports, Recreation and Cultural Centre"
,,Managers
,1431.0100,"General Manager, Recreation and Entertainment"
,1431.9900,"Sports, Recreation and Cultural Centre Manager,"
,,Other
Family,1439,Services Manager Not Elsewhere Classified
Division,2,Professionals
Sub-,21,Science and Engineering Professionals
Division,,
Group,211,Physical and Earth Science Professionals
Family,2111,Physicists and Astronomers
,2111.0100,"Physicist, General"
,2111.0200,"Physicist, Mechanics"
,2111.0300,"Physicist, Heat"
,2111.0400,"Physicist, Light"
,2111.0500,"Physicist, Sound"
,2111.0600,"Physicist, Electricity and Magnetism"
,2111.0700,"Physicist, Electronics"
,2111.0800,"Physicist, Nuclear"
,,NCO 2015
,2111.0900,Astronomer
,2111.1000,Metrologist
,2111.1100,Material Scientist
,2111.9900,"Physicists and Astronomers, Other"
Family,2112,Meteorologists
,2112.0100,Meteorologist
,2112.9900,"Meteorologists, Other"
Family,2113,Chemists
,2113.0100,"Chemist, General"
,2113.0200,"Chemist, Organic"
,2113.0300,"Chemist, Inorganic"
,2113.0400,"Chemist, Physical"
,2113.0500,"Chemist, Analytical"
,2113.0600,"Chemist, Industrial"
,2113.0601,Quality Control Chemist
,2113.0621,Lab Chemist – Finished Product Testing
,2113.0622,Lab Chemist – Incoming Raw Material Testing
,2113.0623,Lab Chemist – Compound Testing – Batch
,,Release
,2113.0624,Lab Chemist – Cured Compound Testing
,2113.0800,"Chemist, Forensic Science"
,2113.0901,Quality Assurance Chemist
,,NCO 2015
,2113.9900,"Chemists, Other"
Family,2114,Geologists and Geophysicists
,2114.0100,Geologist
,2114.0200,Petrologists
,2114.0300,Palaeontologist
,2114.0400,Geophysicist
,2114.0500,Hydrologist
,2114.0600,Mineralogist
,2114.0700,Seismologist
,2114.0800,Oceanographer
,2114.1500,"Geologist, Petroleum"
,2114.5500,"Hydrographer, Waterworks"
,2114.9900,"Geologists and Geophysicists, Other"
Group,212,"Mathematicians, Actuaries and Statisticians"
Family,2120,"Mathematicians, Actuaries and Statisticians"
,2120.0100,Mathematician
,2120.0200,Actuary
,2120.0300,Statistician
,2120.0400,"Statistician, Applied"
,2120.0500,Operation Research Analyst
,2120.0501,Associate – Analytics
,2120.9900,"Mathematicians, Actuaries and Statisticians,"
National Classification of Occupations – 2015,,
,,NCO 2015
,,Other
Group,213,Life Sciences Professionals
Family,2131,"Biologists, Botanists, Zoologists and Related"
,,Professionals
,2131.0100,"Biologist, General"
,2131.0200,Marine Biologist
,2131.0300,Cytologist
,2131.0400,"Botanist, General"
,2131.0500,Economic Botanist
,2131.0600,Plant Breeder
,2131.0700,Mycologist
,2131.0800,Algologist
,2131.0900,"Zoologist, General"
,2131.1000,Entomologist
,2131.1100,Parasitologist
,2131.1200,Bacteriologist
,2131.1300,"Chemist, Biological"
,2131.1400,"Chemist, Food"
,2131.1500,Plant Pathologist
,2131.1800,Plant Physiologist
,2131.9900,"Biologists, Botanists, Zoologists and Related"
,,"Professionals, Other"
Family,2132,"Farming, Forestry and Fisheries Advisors"
,,NCO 2015
,2132.0100,Agronomist
,2132.0200,Horticulturist
,2132.0300,Soil Scientist
,2132.0400,Soil Conservationist
,2132.0500,Silviculturist
,2132.0600,Wood Anatomist
,2132.0700,Dairy Scientist
,2132.0800,Poultry Scientist
,2132.0900,Pisciculturist
,2132.1000,"Farm Overseer, Crop Production"
,2132.9900,"Agronomists and Related Professionals, Other"
Family,2133,Environmental Protection Professionals
,2133.0100,Ecologist
,2133.0200,Environment Scientist (Including Health)
,2133.0300,Taxonomist
,2133.0400,Paleobotanist
Group,214,Engineering Professionals (Excluding
,,Electrotechnology)
Family,2141,Industrial and Production Engineers
,2141.0100,"Works Inspector, Engineering/Inspection"
,,Engineer
,2141.0200,Instrument Engineer/Instrumentation Engineer
,2141.0300,Industrial Engineer
,NCO 2015,NCO 2004
2141.0301,Industrial Engineer Executive,
2141.0400,Packaging Engineer,2149.77
2141.0500,Planning Engineer,2149.78
2141.0501,Production Planning & Control Engineer,
2141.0600,Methods Engineer,2149.80
2141.0800,Engineering Estimator/Estimation Engineer,2149.84
2141.0900,Agricultural Engineer,2149.18
2141.1000,Textile Technologist,2149.20
2141.1100,Nuclear Engineer,2149.23
2141.1200,Jute Technologist,2149.25
2141.1300,Fibre Technologist,2149.30
2141.1400,Spinning Master,2149.35
2141.1500,Weaving Master,2149.40
2141.1600,Dyeing and Bleaching Master (Textiles),2149.45
2141.1700,Printing Master (Textile),2149.50
2141.1800,Sugar Technologist,2149.55
2141.1900,Dairy Technologist,2149.57
2141.2000,Wood Technologist,2149.60
2141.2100,Leather Technologist,2149.65
2141.2200,Glass Technologist,2149.70
2141.2300,Ceramic Technologist,2149.72
2141.2400,Printing Technologist,2149.74
,,NCO 2015
,2141.2500,Safety Engineer
,2141.2600,Occupational Health and Safety Specialist
Family,2142,Civil Engineers
,2142.0100,"Civil Engineer, General"
,2142.0200,"Civil Engineer, Building"
,2142.0300,"Civil Engineer, Structural"
,2142.0301,Plumbing Site Engineer
,2142.0400,"Civil Engineer, Irrigation"
,2142.0500,Hydraulic Engineer
,2142.0501,Fire Protection Systems Design Engineer
,2142.0600,"Civil Engineer, Highways and Roads"
,2142.0700,"Civil Engineer, Railways"
,2142.0800,Airport Engineer
,2142.0900,"Civil Engineer, Public Health"
,2142.0901,Public Health System Design Engineer
,2142.1000,"Engineer, Waterworks"
,2142.1001,Groundwater Engineer
,2142.1002,Wastewater Systems Design
,2142.9900,"Civil Engineers, Other"
Family,2143,Environmental Engineers
,2143.0100,Solar Energy System Designer
,2143.0200,Bio-Medical Engineer
,,NCO 2015
,2143.0300,Radiation Protection Engineer
,2143.0400,"Waste Management Engineer, Radioactive"
,,Material
,2143.0500,Pollution Control Engineer
Family,2144,Mechanical Engineers
,2144.0100,"Mechanical Engineer, General"
,2144.0101,Process Design Engineer
,2144.0102,Process Try-Out Engineer
,2144.0103,Process Try-Out Technician
,2144.0104,Process Validation Executive
,2144.0105,"Manager, Process Engineering"
,2144.0106,Manager – Product Lifecycle Management
,2144.0200,"Designer, Machine"
,2144.0201,Designer - Mechanical
,2144.0300,Tool Engineer
,2144.0301,Equipment Designer
,2144.0401,"Mechanical Engineer, Production"
,2144.0402,Product Conceptualization Engineer
,2144.0403,Production Engineer
,2144.0500,"Mechanical Engineer, Structural"
,2144.0600,"Mechanical Engineer, Maintenance"
,2144.0601,Service Engineer – Breakdown Service
,,NCO 2015
,2144.0700,"Mechanical Engineer, Automobile"
,2144.0701,Prototyping Engineer
,2144.0800,Automobile Designer
,2144.0801,Product Design Manager
,2144.0802,Modeller
,2144.0803,Product Design Engineer
,2144.0804,Prototyping Manager
,2144.0900,"Mechanical Engineer, Aeronautical"
,2144.1000,"Mechanical Engineer, Marine"
,2144.1100,"Architect, Naval"
,2144.1200,"Mechanical Engineer, Air-Conditioning"
,2144.1301,Layout Engineer
,2144.1302,Industrial Engineer (Workstation
,,Design)
,2144.1401,Service Engineer – Installation
,2144.1402,Service Engineer – Installation and
,,Commissioning
,2144.9900,"Mechanical Engineers, Other"
Family,2145,Chemical Engineers
,2145.0100,"Chemical Engineer, General"
,2145.0200,"Designer, Chemical Engineering"
,2145.0300,"Chemical Engineer, Paints and Varnish"
,,NCO 2015
,2145.0400,"Chemical Engineer, Drugs and Acids"
,2145.0500,"Chemical Engineer, Petroleum"
,2145.0600,"Chemical Engineer, Fertilizers"
,2145.0700,"Chemical Engineer, Food"
,2145.0800,"Technologist, Food/Chemical Engineer"
,2145.0900,"Technologist, Fuel"
,2145.1000,Oil Technologist
,2145.1100,"Technologist, Paper"
,2145.1200,"Technologist, Alcohol"
,2145.1300,"Technologist, Rubber"
,2145.1400,"Technologist, Plastics"
,2145.9900,"Chemical Engineers and Technologists, Other"
Family,2146,"Mining Engineers, Metallurgists and Related"
,,Professionals
,2146.0100,"Mining Engineer, General"
,2146.0200,"Mining Engineer, Non-Metals"
,2146.0300,"Mining Engineer, Metal"
,2146.0400,"Mining Engineer, Petroleum and Gas"
,2146.0500,"Metallurgist, Extractive"
,2146.0501,Manager Heat Treatment/Metallurgist
,2146.0600,"Metallurgists, Adaptive"
,2146.9900,"Mining Engineers, Metallurgists and Related"
,,"Professionals, Other"
,,NCO 2015
Family,2149,Engineering Professionals Not Elsewhere
,,Classified
,2149.0100,"Engineers and Related Technologists, Other"
Group,215,Electrotechnology Engineers
Family,2151,Electrical Engineers
,2151.0100,"Electrical Engineer, General"
,2151.0200,"Designer, Electrical Engineering"
,2151.0201,Design Engineer
,2151.0202,Electrical Design Developer
,2151.0300,"Electrical Engineer, Generation and Supply"
,2151.0400,Illumination Engineer
,2151.0403,LED Light Design Engineer
,2151.0404,LED Light Design Validation Engineer
,2151.0601,System Analyst (PCB Design)
,2151.0602,Systems Designer (PCB Design)
,2151.0701,Design-For-Manufacture Engineer
,2151.9900,"Electrical Engineers, Other"
Family,2152,Electronics Engineers
,2152.0200,Electronic Engineer
,2152.0301,Stress Analyst/Computer-Aided Test Executive
,2152.0400,Electro-Optical Engineer
,2152.0501,Design Engineer
,,NCO 2015
,2152.0502,Design-For-Test Engineer
,2152.0601,Quality Engineer
,2152.0801,Electronic Hardware Design Engineer
,2152.0901,Verification Engineer
,2152.0902,Testing and Validation Engineer
,2152.9900,"Electronics Engineers, Other"
Family,2153,Telecommunication Engineers
,2153.0100,"Telecommunication Engineer, General"
,2153.0101,Telecom Terminal Equipment Application
,,Developer (Android)
,2153.0102,Telecom Terminal Equipment Application (Native
,,Applications)
,2153.0200,"Radio Engineer, Telecommunication"
,2153.0300,"Microwave Engineer, Telecommunication"
,2153.0400,"Line Communication Engineer, Tele-"
,,Communication/Telecommunication
,,Engineer/Technician
,2153.0500,Sound Engineer
,2153.0501,"Sound Engineer, Media"
,2153.0511,Sound Designer
,2153.0601,Core Engineer
,2153.9900,"Telecommunication Engineers, Other"
Group,216,"Architects, Planners, Surveyors and Designers"
,,NCO 2015
Family,2161,Building Architects
,2161.0100,Architect
,2161.9900,"Building Architects, Other"
Family,2162,Landscape Architects
Family,2163,Product and Garment Designers
,2163.0100,Package Designer/Packaging Designer
,2163.0201,Design Merchandiser
,2163.0301,Hand Sketch Designer (Basic)
,2163.0400,Furniture Designer
,2163.0500,Fashion Designer
,2163.0600,Textile Designer
Family,2164,Town and Traffic Planners
,2164.0100,Town Planner
,2164.0200,Traffic Planner
Family,2165,Cartographers and Surveyors
,2165.0100,Cartographer
,2165.0200,"Surveyor, Topographical"
,2165.0300,Aerial – Photograph Interpreter
,2165.0400,"Surveyor, Photogrammetric"
,2165.0500,"Surveyor, Mine"
,2165.0600,"Surveyor, Hydrographic"
,2165.9900,"Cartographers and Surveyors, Other"
,,NCO 2015
Family,2166,Graphic and Multimedia Designers
,2166.0100,Commercial Artist
,2166.0111,Art Director
,2166.0201,Multimedia Artist and Animator/Animator
,2166.0202,Modeller
,2166.0203,Rigging Artist
,2166.0204,Texturing Artist
,2166.0205,Animation Director
,2166.0206,Character Designer
,2166.0207,Clean-Up Artist
,2166.0208,Compositor
,2166.0209,Storyboard Artist
,2166.0210,Rendering Artist
,2166.0211,VFX Editor
,2166.0212,Roto Artist
,2166.0300,Web Designer
,2166.0401,Designer (CAD)
,2166.0501,Graphic Designer
,2166.0511,Colour Key Artist
,2166.0512,Colourist
Sub-,22,Health Professionals
Division,,
,,NCO 2015
Group,221,Medical Doctors
Family,2211,Generalist Medical Practitioners
,2211.0100,"Physician, General"
,2211.0200,"Surgeon, General"
,2211.0300,"Anatomist, Medical"
,2211.0400,Anaesthetist
,2211.0500,Psychiatrist
,2211.9900,"Generalist Medical Practitioners, Allopathic,"
,,Other
Family,2212,Specialist Medical Practitioners
,2212.0100,Neurologist
,2212.0200,Dermatologist
,2212.0300,Allergy Specialist
,2212.0400,"Ear, Nose and Throat Specialist"
,2212.0500,Cardiologist
,2212.0600,Radiologist
,2212.0700,Tuberculosis Specialist
,2212.0800,Ophthalmologist
,2212.0900,Urologist
,2212.1000,Venereologist
,2212.1100,Obstetrician
,2212.1200,Gynaecologist
,,NCO 2015
,2212.1300,Paediatrician
,2212.1400,Orthopaedist
,2212.1500,Pharmacologist
,2212.1600,Toxicologist (Pharmaceutical)
,2212.1700,"Pathologist, Medical"
,2212.1800,"Malariologist, Medical"
,2212.1900,"Physiologist, Medical"
,2212.9900,"Specialist Medical Practitioners, Other"
Group,222,Nursing and Midwifery Professionals
Family,2221,Nursing Professionals
,2221.0100,"Nurse, Specialist"
,2221.9900,"Professional Nurses, Other"
Family,2222,Midwifery Professionals
Group,223,Traditional and Complementary Medicine
,,Professionals
Family,2230,Traditional and Complementary Medicine
,,Professionals
,2230.0100,"Physician, Ayurvedic"
,2230.0200,"Physician, Homeopathic"
,2230.0300,"Physician, Bio-Chemic/Bio Chemist"
,2230.0400,"Physician, Unani"
,2230.9900,"Traditional Medicine Practitioners, Other"
Group,224,Paramedical Practitioners
,,NCO 2015
Family,2240,Paramedical Practitioners
,2240.0100,"Laboratory Assistant, Clinical"
,2240.0400,Dresser
,2240.0501,Emergency Medical Technician – Basic
,2240.0502,Emergency Medical Technician – Advanced
,2240.9900,"Paramedical Practitioners, Other"
Group,225,Veterinarians
Family,2250,Veterinarians
,2250.0100,Animal Pathologist
,2250.0200,"Veterinarian, General"
,2250.0300,"Veterinarian, Surgeon"
,2250.0400,Animal Genetist
,2250.0500,Zoo Veterinarian
,2250.0600,"Veterinarian, Poultry"
,2250.9900,"Veterinarians, Other"
Group,226,Other Health Professionals
Family,2261,Dentists
,2261.0100,Dentist
,2261.0200,Oral and Maxillofacial Surgeon
,2261.0300,Orthodontist
,2261.0400,Periodontist
,2261.0500,Prosthodontist
,,NCO 2015
,2261.0600,Paediatric Dentist
,2261.9900,"Dental Specialists, Other"
Family,2262,Pharmacists
,2262.0100,"Chemist, Pharmaceuticals"
,2262.0101,"Chemist, Pharmaceuticals"
Family,2263,Environmental and Occupational Health and
,,Hygiene Professionals
,2263.0100,Health Officer
,2263.0200,"Administrator, Hospital"
,2263.9900,Environmental and Occupational Health and
,,"Hygiene Professionals, Other"
Family,2264,Physiotherapists
,2264.0100,Physiotherapist
,2264.0200,Occupational Therapist
,2264.0300,Chiropodist
,2264.0400,Masseur
,2264.0401,Sports Masseur
,2264.9900,Physiotherapists and Related Associate
,,"Professionals, Other"
Family,2265,Dieticians and Nutritionists
,2265.0100,"Nutritionist, General"
,2265.0200,"Dietician, General"
,2265.0201,Dietician Assistant
,,NCO 2015
,2265.0300,Animal Nutritionist
,2265.9900,"Dieticians and Nutritionists, Other"
Family,2266,Audiologists and Speech Therapists
,2266.0100,Speech Therapist and Audiologist
,2266.0200,Speech Pathologist
,2266.0300,Voice Pathologist
,2266.0401,Speech Language Pathologist and Audiologist
Family,2267,Optometrists and Ophthalmic Opticians
,2267.9900,"Optometrists and Opticians, Other"
Family,2269,Health Professionals Not Elsewhere Classified
,2269.0100,Naturopath
,2269.0200,"Physician, Osteopathic"
,2269.0300,"Physician, Sidha"
,2269.0400,"Physicians and Surgeons, Other"
,2269.0500,Orthotist and Prosthetist
,2269.0600,Orientation & Mobility Instructor
,2269.0700,"Medical and Health Technicians, Other"
Sub-,23,Teaching Professionals
Division,,
Group,231,University and Higher Education Teachers
Family,2310,University and Higher Education Teachers
,2310.0100,"University and College Teacher, Arts"
,,"Subjects/Professors/Assistant Professors, Arts"
National Classification of Occupations – 2015,,Concordance Table
,NCO 2015,NCO 2004
,Subjects,
2310.0200,"University and College Teacher, Commerce",2310.15
,"Subjects/Professors/Assistant Professors,",
,Commerce Subjects,
2310.0300,"University and College Teacher, Management",2310.18
,"Subjects/Professors/Assistant Professors,",
,Management Subjects,
2310.0400,"University and College Teacher,",2310.20
,"Law/Professors/Assistant Professors, Education",
2310.0500,"University and College Teacher,",2310.30
,"Law/Professors/Assistant Professors, Law",
2310.0600,"University and College Teacher, Science",2310.40
,"Subjects/Professors/Assistant Professors, Science",
,Subjects,
2310.0700,"University and College Teacher, Engineering/",2310.45
,"Professors/Assistant Professors, Engineering",
2310.0800,"University and College Teacher, Information",2310.48
,"Technology/Professors/Assistant Professors,",
,Information Technology,
2310.0900,"University and College Teacher, Medicine and",2310.50
,"Surgery/Professors/Assistant Professors,",
,Medicine and Surgery,
2310.1000,"University and College Teacher, Veterinary",2310.60
,"Science/Professors/Assistant Professors,",
,Veterinary Science,
2310.1100,"University and College Teacher, Agricultural",2310.70
,Subjects,
2310.1200,"University and College Teacher, Fine",2310.80
,"Arts/Professors/Assistant Professors, Fine Arts",
2310.9900,"Professors/Assistant Professors, Other",2310.90
,,NCO 2015
Group,232,Vocational Education Teachers
Family,2320,Vocational Education Teachers
,2320.0101,Certified Training Assessor
,2320.0102,Physical Security Trainer
Group,233,Secondary Education Teachers
Family,2330,Secondary Education Teachers
,2330.0100,"Senior Secondary and Secondary School Teacher,"
,,Arts
,2330.0200,"Senior Secondary and Secondary School Teacher,"
,,Science
,2330.0300,"Senior Secondary and Secondary School Teacher,"
,,Commerce
,2330.0400,"Language Teacher, Senior Secondary and"
,,Secondary School
,2330.9900,Senior Secondary and Secondary School
,,"Teachers, Other"
Group,234,Primary School and Early Childhood Teachers
Family,2341,Primary School Teachers
,2341.0100,Middle School Teacher
,2341.0200,"Language Teacher, Middle School"
,2341.0400,Primary School Teacher
,2341.9900,"Primary School Teachers, Other"
Family,2342,Early Childhood Educators
